class_id,class_name,center_x,center_y,center_z,length,width,height,point_count
1,class_1,6146.000000,4122.000000,12.750000,4.000000,4.000000,0.968750,13
1,class_1,6126.000000,4126.000000,9.058014,252.000000,252.000000,17.977722,32957
1,class_1,6234.000000,4018.000000,12.281250,36.000000,36.000000,3.703125,372
1,class_1,6168.000000,4043.000000,14.503906,8.000000,6.000000,3.742188,32
1,class_1,6014.000000,4180.000000,6.218750,28.000000,24.000000,2.539062,237
1,class_1,6030.000000,4154.000000,4.672852,28.000000,28.000000,2.240234,218
1,class_1,6190.000000,4222.000000,6.281250,4.000000,4.000000,0.757812,16
1,class_1,6200.000000,4204.000000,7.251953,0.000000,8.000000,3.339844,14
1,class_1,6000.000000,4160.000000,7.503906,0.000000,8.000000,1.023438,45
1,class_1,6010.000000,4142.000000,4.236328,20.000000,20.000000,2.285156,170
1,class_1,6000.000000,4224.000000,16.386719,0.000000,0.000000,3.320312,22
2,class_2,6126.000000,4114.000000,9.879883,20.000000,20.000000,15.427734,435
2,class_2,6190.000000,4150.000000,16.166992,124.000000,100.000000,27.478516,13815
2,class_2,6162.000000,4082.000000,7.238281,4.000000,4.000000,2.429688,49
2,class_2,6116.000000,4073.000000,5.966797,8.000000,6.000000,7.253906,195
2,class_2,6250.000000,4088.000000,17.640625,4.000000,24.000000,17.593750,460
2,class_2,6228.000000,4053.000000,14.964844,8.000000,10.000000,8.976562,374
2,class_2,6218.000000,4065.000000,11.382812,12.000000,6.000000,1.796875,115
2,class_2,6228.000000,4012.000000,12.019531,40.000000,24.000000,2.414062,276
2,class_2,6198.000000,4032.000000,14.125000,28.000000,24.000000,7.093750,970
2,class_2,6178.000000,4214.000000,15.873047,36.000000,36.000000,21.722656,2979
2,class_2,6226.000000,4206.000000,15.005859,52.000000,52.000000,19.800781,4498
2,class_2,6154.000000,4014.000000,13.498047,52.000000,28.000000,11.285156,2160
2,class_2,6116.000000,4059.000000,6.695312,8.000000,10.000000,8.562500,137
2,class_2,6132.000000,4039.000000,8.988281,8.000000,6.000000,2.554688,63
2,class_2,6106.000000,4013.000000,5.103516,4.000000,2.000000,4.925781,82
2,class_2,6114.000000,4004.000000,5.836914,4.000000,4.000000,5.701172,123
2,class_2,6062.000000,4140.000000,7.164062,12.000000,8.000000,8.390625,311
2,class_2,6158.000000,4242.000000,15.132812,20.000000,20.000000,18.140625,1320
2,class_2,6060.000000,4086.000000,5.395508,8.000000,4.000000,6.099609,140
2,class_2,6076.000000,4065.000000,5.558594,16.000000,10.000000,6.726562,382
2,class_2,6036.000000,4122.000000,6.644531,0.000000,4.000000,0.687500,13
2,class_2,6022.000000,4084.000000,6.634766,44.000000,32.000000,9.136719,1456
2,class_2,6082.000000,4051.000000,7.246094,4.000000,2.000000,4.148438,68
2,class_2,6080.000000,4029.000000,6.912109,0.000000,2.000000,1.988281,34
2,class_2,6086.000000,4010.000000,6.597656,12.000000,20.000000,8.429688,475
3,class_3,6182.000000,4076.000000,35.149414,140.000000,152.000000,66.201172,36882
3,class_3,6212.000000,4218.000000,21.539062,80.000000,68.000000,32.921875,9995
3,class_3,6242.000000,4176.000000,13.847656,20.000000,32.000000,18.335938,872
3,class_3,6124.000000,4029.000000,20.125977,40.000000,58.000000,35.685547,7293
3,class_3,6034.000000,4156.000000,17.789062,68.000000,104.000000,30.671875,15908
3,class_3,6082.000000,4232.000000,13.126953,60.000000,40.000000,14.871094,2500
3,class_3,6036.000000,4240.000000,11.980469,24.000000,24.000000,12.382812,766
3,class_3,6010.000000,4230.000000,17.158203,20.000000,44.000000,22.558594,2115
4,class_4,6034.000000,4041.000000,0.721680,68.000000,82.000000,2.414062,1236
5,class_5,6142.000000,4134.000000,3.565430,4.000000,4.000000,1.619141,31
5,class_5,6144.000000,4174.000000,4.835938,96.000000,84.000000,4.320312,5136
5,class_5,6158.000000,4086.000000,3.569336,4.000000,4.000000,2.298828,72
5,class_5,6106.000000,4028.000000,3.033203,12.000000,52.000000,1.722656,324
5,class_5,6072.000000,4184.000000,5.254883,24.000000,32.000000,2.615234,510
5,class_5,6022.000000,4182.000000,6.013672,4.000000,4.000000,1.425781,30
5,class_5,6010.000000,4176.000000,6.525391,4.000000,0.000000,1.191406,21
5,class_5,6022.000000,4154.000000,4.812500,4.000000,4.000000,1.109375,13
5,class_5,6144.000000,4226.000000,6.392578,8.000000,12.000000,1.347656,128
5,class_5,6154.000000,4214.000000,6.208984,4.000000,4.000000,0.980469,26
5,class_5,6126.000000,4242.000000,6.539062,4.000000,12.000000,1.140625,43
5,class_5,6112.000000,4236.000000,7.330078,8.000000,16.000000,3.199219,138
5,class_5,6050.000000,4212.000000,5.876953,12.000000,16.000000,1.574219,94
5,class_5,6072.000000,4246.000000,7.000000,16.000000,12.000000,1.570312,70
5,class_5,6010.000000,4206.000000,6.697266,20.000000,20.000000,1.574219,141
5,class_5,6226.000000,4180.000000,5.761719,4.000000,0.000000,0.335938,15
5,class_5,6006.000000,4150.000000,4.910156,4.000000,4.000000,1.882812,46
5,class_5,6010.000000,4138.000000,4.737305,4.000000,4.000000,1.564453,19
5,class_5,6014.000000,4108.000000,3.685547,28.000000,24.000000,2.753906,189
5,class_5,6088.000000,4021.000000,3.181641,16.000000,42.000000,2.136719,212
5,class_5,6250.000000,4210.000000,6.996094,4.000000,4.000000,1.140625,30
5,class_5,6144.000000,4248.000000,7.501953,8.000000,8.000000,1.667969,145
5,class_5,6056.000000,4234.000000,6.570312,8.000000,4.000000,1.195312,17
5,class_5,6014.000000,4236.000000,7.568359,12.000000,16.000000,2.660156,96
5,class_5,6240.000000,4194.000000,6.617188,0.000000,4.000000,0.718750,14
5,class_5,6230.000000,4198.000000,6.402344,4.000000,4.000000,0.992188,16
5,class_5,6218.000000,4188.000000,5.845703,4.000000,0.000000,1.042969,16
5,class_5,6202.000000,4138.000000,5.109375,4.000000,4.000000,1.257812,20
5,class_5,6244.000000,4234.000000,7.425781,8.000000,12.000000,1.523438,80
5,class_5,6098.000000,4222.000000,6.386719,4.000000,4.000000,1.117188,22
6,class_6,6148.000000,4146.000000,3.539062,8.000000,12.000000,1.664062,72
6,class_6,6122.000000,4120.000000,4.158203,12.000000,8.000000,3.972656,167
6,class_6,6138.000000,4116.000000,4.019531,12.000000,8.000000,2.351562,23
6,class_6,6148.000000,4106.000000,4.343750,8.000000,4.000000,1.734375,16
6,class_6,6166.000000,4071.000000,5.750000,20.000000,22.000000,6.468750,269
6,class_6,6122.000000,4106.000000,4.499023,4.000000,4.000000,3.330078,10
6,class_6,6238.000000,4058.000000,11.648438,4.000000,4.000000,2.515625,28
6,class_6,6226.000000,4034.000000,13.117188,4.000000,4.000000,3.156250,12
6,class_6,6212.000000,4024.000000,13.808594,8.000000,4.000000,2.273438,11
6,class_6,6228.000000,4099.000000,9.757812,16.000000,10.000000,3.078125,49
6,class_6,6202.000000,4156.000000,6.824219,12.000000,8.000000,4.320312,83
6,class_6,6192.000000,4084.000000,6.817383,40.000000,32.000000,7.990234,237
